Mouse id,Modality,QC (true/false),Sex,Transgenic details,Virus(es),Birth date,Surgery date(s),Notes
776270,SLAP2,,Female,wt/wt,(pHp.eB) 5E12 ExP32222-hSyn-Flex-iGluSnFR4.v9601.NGR + 1E12 AAB.pHp.eB-CAG.Flex.NES.JRGECO1a.WPRE.SV40 + 6E8 AAV9-CaMKII0.4-Cre-SV40,9/10/24,12/2/24,
794237,SLAP2,TRUE,Male,wt/wt,(pHp.eB) 5E12 ExP32222-hSyn-Flex-iGluSnFR4.v9601.NGR + 1E12 AAB.pHp.eB-CAG.Flex.NES.JRGECO1a.WPRE.SV40 + 6E8 AAV.php.eB-CamKII0.4.Cre.SV40,1/7/25,3/12/25,
796630,SLAP2,TRUE,Male,wt/wt,4E12 ExP32222-hSyn-Flex-iGluSnFR4.v9601.NGR + 2E12 pAAV.CAG.Flex.RCAMP3.WPRE.SV40 + 6E8 AAV9-CamKII0.4-Cre-SV40,1/21/25,4/1/25,
801381,SLAP2,TRUE,Male,wt/wt,(pHp.eB) 5E12 ExP32222-hSyn-Flex-iGluSnFR4.v9601.NGR +1.8E12 pAAV.CAG.Flex.RCAMP3.WPRE.SV40 + 4.12E8 AAV.php.eB-CamKII0.4.Cre.SV40,2/18/25,4/29/25,
803496,SLAP2,,Female,VIP-IRES-Cre,GluSNF4 with viruses; Exp32222-hSyn-Flex-iGluSnFR4.v9601.NGR virus injected,4/22/25,6/10/25,
828408,SLAP2,,Male,wt/wt,iGluSnFR4f and rCAMP3 both with viruses,7/22/25,10/1/25,
828409,SLAP2,,Male,wt/wt,iGluSnFR4f and rCAMP3 both with viruses,7/22/25,10/1/25,
820454,EPHYS,TRUE (4 sessions),Male,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,None,7/27/25,9/18/25; 11/7/25,
820459,EPHYS,TRUE (2 seesions),Female,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,None,7/27/25,9/30/25; 11/14/25,
829704,SLAP2,TRUE,Male,wt/wt,(pHp.eB) 5E12 ExP32222-hSyn-Flex-iGluSnFR4.v9601.NGR +1.8E12 pAAV.CAG.Flex.RCAMP3.WPRE.SV40 + 4.12E8 AAV.php.eB-CamKII0.4.Cre.SV40,7/29/25,10/7/25,
